"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"101","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","Q4186","EPIFIX PER SQ CM","1","100%",,,"24",,,,,"NA","NA"
"102","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","95249","CONT GLUC MONITORING PATIENT PROVIDED EQUIPTMENT","1","100%",,,"18.5",,,,,"NA","NA"
"103","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A4230","INFUS SET EXT INSULIN PUMP NONNDLE CANNULA TYPE","10","80%",,"14.8","35.4",,,,,"NA","NA"
"104","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A9276","SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U Equal to 1D","29","79%",,"8.5","29.2",,,,,"NA","NA"
"105","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A4232","SYRINGE W/NDLE EXTERNAL INSULIN PUMP STERILE 3CC","9","78%",,"14.8","38.5",,,,,"NA","NA"
"106","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A9277","TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS","13","77%",,"12.2","22",,,,,"NA","NA"
"107","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","K0553","SUPPLY ALLOW FOR TX CGM1 MO SPL  Equal to  1 U OF SERVICE","3","67%",,"1.7","213.8",,,,,"NA","NA"
"108","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","A4232","SYRINGE W/NDLE EXTERNAL INSULIN PUMP STERILE 3CC","9","0%","11%","14.8","38.5",,,,,"NA","NA"
"109","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","A4230","INFUS SET EXT INSULIN PUMP NONNDLE CANNULA TYPE","10","0%","10%","14.8","35.4",,,,,"NA","NA"
"110","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","A9277","TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS","13","0%","8%","12.2","22",,,,,"NA","NA"
"111","Carrier G","2020","Diabetes Supplies and Equip","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","E0784","EXTERNAL AMBULATORY INFUSION PUMP INSULIN","13","0%","8%","14.8","95.5",,,,,"NA","NA"
